"","tags","description"
"707","full-time-job 2-4-years-experience-needed associate-needed supervising-job","Brookstone, one of the nation's most exciting specialty retailers known for its unique, high quality, innovative products and gift ideas, is currently searching for proven retail professionals to share in our success. We are currently accepting applications for a full-time store sales manager in our Akron, market.    PRIMARY FUNCTION:   Sales floor leadership promoting a sales culture to build productivity. Prepare for future growth through hiring and developing great people. Provide leadership to achieve or exceed budgeted sales and payroll, and manage profit and loss (P&L). Effectively manage store operations, inventory levels and visual merchandising standards. Ensure all internal and external customers receive exemplary customer service and receive a positive store/brand experience. Ensure sales associates build relationships with customers though prodigy leads. Accountable for all aspects of the store.    ESSENTIAL DUTIES & RESPONSIBILITIES:  Ensure store meets or exceeds sales and contest goals; meet payroll goals based on current trends.  Prioritize, plan and adjust schedules and daily agendas to meet business goals. Hold team accountable to achieving goals.  Recruit, interview, and select qualified candidates to build a talent pipeline to achieve current and future business goals.  Train and motivate all associates through on-going programs in sales, customer service and product knowledge.  Develop management team to assume increased levels of responsibility.  Assess performance and provide on-going feedback; complete and deliver performance appraisals and development plans.  Ensure team provides an exceptional customer experience in the store to achieve service standards.  Maintain presence through effective sales floor management and ensure staff coverage in all areas of the store as needed.  Establish and maintain a safe work environment and ensure ongoing safety training and awareness.  Ensure store standards are met and maintained, i.e., visuals, cleanliness, signage, safety, etc.  Manage store operating procedures, i.e., inventory levels and cash control to minimize store losses.  Responsible for ensuring the store meets Brookstone guidelines in opening and closing.  Ensure associates comply with all Brookstone policies and procedures.  Create and maintain an environment where all associates are treated fairly and with dignity and respect.  Monitor assets through accurate inventory management procedures.  Work with District Managers and peers to develop best practices in store management.    SKILLS/KNOWLEDGE:  4 + years management experience in specialty retail and/or multi-unit retail business environment.  Proven ability to manage staff to exceed sales goals, while meeting payroll goals.  Proven ability to identify top talent, create teams, and train/develop/retain great people.  Proven ability to think through complex issues, and allocate time to execute multiple tasks and changing priorities.  Effective communication, organization and leadership skills.  Proven ability to motivate and influence others through personal actions and examples.  Proven ability to achieve results both independently and through others by fostering a spirit of teamwork and cooperation.  Proven ability to develop strategies and execute successfully.    EDUCATION:  College degree preferred or equivalent job experience.     To learn more about our people, culture, product and opportunity for advancement, visit us at www.example.com and get excited about the opportunity to improve your own history of growth     Thank you for your interest in Brookstone!   "
"714","licence-needed full-time-job 2-4-years-experience-needed","A PCAB Accredited compounding only pharmacy in Irvine is seeking a full time non-sterile compounding pharmacy technician.  The responsibilities include compounding a multitude of dosage forms:  creams, gels, suppositories, tablet triturates, suspensions, lolli pops, troches, etc.  The ideal candidate will possess 3 years of compounding experience and a technician license with the California Board of Pharmacy.  Candidate must be able to adapt to changing workload, work as part of a team and communicate well with co-workers and supervisors in order to ensure timely delivery of compounded prescriptions to clients.  The hours are Monday through Friday 9am to 5:30pm, no evenings, weekends or Holidays.  We offer medical and dental coverage, a matching profit sharing plan and a very professional work environment."
"716","bs-degree-needed 5-plus-years-experience-needed full-time-job","Syneren is currently seeking a full-time Mid-Level Engineer. The ideal candidate thrives in a team atmosphere, takes pride in his/her work, and is committed to a highly proactive, process-driven approach. They must possess excellent communication skills and be customer oriented. Ideally, a motivated, self-driven, and results oriented team player with the ability to learn and adapt quickly to new environments and technology.  Key Responsibilities and Accountabilities: - Provide multiple levels of support on a variety of different tasks to include: - Develop, generate, edit and update maintenance documentation which includes maintenance notes, modification notes, and technical manuals, technical information packages (TIP), notes, and other related publications. - Provide engineering support of the maintenance program. This support includes systems reliability and maintenance, engineering functions, generating performance statistics, maintenance of related system availability and reliability files, document review and comment - Provide engineering support and assistance including the maintenance of files, document review and comment, and the generation of draft documents, schedules, and charts - Implementation of modifications and product improvements including maintaining and executing a Visual Basic application - Develop maintenance and logistics documentation for the operations and maintenance of operational systems in the field  Required Qualifications: - Minimum of a Bachelor’s Degree and 6 years of experience - Experienced in the operation and maintenance of weather equipment - Knowledge of field maintenance including fault isolation and repair of electronic equipment at the modular replacement level - Knowledge of probability and statistics - Experience with software development for monitoring and track equipment performance, installation maintenance, alignment and repair of electronic equipment - Experience working individually and on a team of engineers and/or technicians in the investigation, analysis, testing, diagnosis, modification and correction of complex electronic systems, subsystems and equipment"
"719","part-time-job","ABC Do-Re-Me! Provides innovative, high-energy music and movement programs for young children from newborn to 5 years old. Our teachers get to do what they love every day - making music while helping children learn through song, dance, instruments and books.  From nursery rhymes to the Beatles, from Ladybug to Lady Gaga, our programs provide valuable music education while the kids are having too much fun to realize they're learning.    We are looking for a dedicated intern who share our passion and vision. This 15-18 hrs/week internship includes opportunities working with our fun ABC Do-Re-ME! team including working closely with our Founder and CEO. You will be helping create fun curriculums, fun online activities, newsletters, working events and more. Some work may be with the curriculum development director, who will provide training. This is a fabulous opportunity to learn about a childhood education and kids music company. It can be counted toward credit for undergraduate, graduate or childhood education internship fieldwork. Please be ready to commit for at least 3 months.  Experience Experience working in early children's education and or music a plus  Skills Must have strong writing and organization skills Must be fun, but responsible and mature  Compensation Unpaid internship. Can be used for credit for college, or graduate fieldwork requirements."
"720","2-4-years-experience-needed salary bs-degree-needed full-time-job","Nearly 50% of Chicago’s West side teens never finish high school.    Share the vision. Keep the hope. Be the change  to a more just and equitable future.   Computer Skills Instructor  About the West Town Academy:  The West Town Academy (WTA) is a highly effective, state-recognized diploma-granting high school for students who have dropped out of Chicago Public Schools and wish to complete their secondary education. 75% of our students are African-American, and 25% are Latino. Students range in age from 17-21 years of age.  Most WTA students are from low-income families, and approximately 15% are DCFS wards.  The WTA plays a critical role in the lives of both our students and their communities.  The WTA strives to demonstrate and model a highly successful strategy for re-engaging, teaching and graduating our community’s many dropout youth.  Additionally, the WTA serves as a model for civic and government leaders to encourage the creation and expansion of resources and programs that effectively address the needs of our community’s many at-risk and dropout youth.  Position Overview:  The Computer Skills (CS) Instructor role is a year-round, full-time position that incorporates classroom teaching and systems support for the agency’s Technology Coordinator. The CS instructor will teach the Microsoft Office Suite, Photoshop, and website design from an existing and evolving curriculum.  The CS Instructor will also be responsible for overseeing and implementing online Blackboard curriculum.    Position Responsibilities  (1) Develop lesson plans and provide academic instruction and individualized mentoring services to assigned students. (2) Oversee the implementation of educational plan and intervene immediately with any students on their caseload showing attendance, behavior, or academic problems. (3) Follow-up daily with phone calls to absent students and their parents/ guardians. (4) Provide additional tutoring and develop remediation plan for any students failing to perform in their class. (5) Maintain all records, logs, and submit reports in a timely manner. (6) Attend all staff meetings and events as assigned. (7) Involvement with after-school and extracurricular activities as needed  Qualifications/Requirements:  • Candidates should possess a demonstrated commitment to community service  • Two or more years related as an educator or additional experience as an industry/corporate trainer, experience with at-risk, dropout youth preferred • BA/BS in a related field plus/or demonstrated technical experience and/or industry standard certifications • Proficiency in Microsoft Office, Windows networking and troubleshooting and PC hardware support • Women and minorities are encouraged to apply   • Bi-lingual Spanish helpful   Compensation: This is a full time, permanent, career position.  The salary range is based on skills and experience.  The agency benefit package includes health, life, disability insurance; retirement plan; bonus program and educational reimbursement.    To Apply:  Qualified candidates should submit a detailed cover letter and resume demonstrating how you meet or exceed each minimum qualification and describing generally their relevant special knowledge, skills and abilities.  Submit your materials via e-mail or mail to: example@example.com  Please clearly indicate CS Instructor in the subject line of the e-mail.  If you prefer, you can mail your application materials to us at:  Human Resources, Greater West Town Community Development Project, 500 N. Sacramento Blvd. Chicago, IL 60612."
"726","full-time-job","Job Description  Responsible for providing administrative support for designated management team. - Manage incoming and outgoing phone and email communications. - Maintain various departmental database systems and lists; create and enter data into spreadsheets. - File, fax, distribute mail and order supplies. - Prepare letters, memos, and other routine correspondence. - Interface with customers and management at various levels. - Coordinate meetings and travel arrangements, and maintain department calendar. - Process purchase cards, expense reports and invoices. - Create presentations and corresponding materials.  The days and hours for this position are Monday to Friday from 7:30 am unitl 4 pm, with flexibility to work overtime.  Requirements  - High school diploma or GED required. - Some college preferred. - 0-2 years experience in automated office environment. - Organized, flexible and a good communicator. - Proficient in Microsoft Office applications. - Good computer skills. - Excellent phone etiquette. - Knowledge of multi-line phone systems. - Ability to multi-task. - Kronos experience a plus."
"729","2-4-years-experience-needed associate-needed part-time-job","Church Office Administrator. The Church office is a busy setting. We are looking for a self motivated, highly organized person. The job is 20 hours per week, 9:00 to 1:00, Monday through Friday. The successful candidate will have a competent use of Microsoft Office packages, i.e. Outlook, Word, Excel & Publisher, along with a familiarity of database usage. Exceptional writing and verbal skills are required. College graduate preferred with a minimum of 3 years strong office experience."
"731","full-time-job","*  Have experience in office work *  Have basic computer skills and be able to learn our in house program *  Must be detailed oriented and able to follow specific instructions *  Ability to work 40 hours weekly and available to do extra time if necessary"
"734","full-time-job","Job Title: Leasing Assistant   Accountability:   Property Manager  Position:   Permanent, Full-time  Compensation: DOE   Schedule: Tuesday – Saturday, 10:30 am – 7pm or as needed           Start Date:  August 2013   Job Summary:  To provide general and administrative support to the on-site staff in the performance of activities related to the property.  Responsible for answering phones, clerical support, computer generated reports, data entry, general office organization, and the assistance of leasing activities. This position requires availability to work weekends and evenings if needed.  Core Competencies: • Feel comfortable with and be approachable to a diversity of people  • Friendly and professional with a good sense of humor • Able to maintain a positive attitude even when under pressure • Excellent communication skills, written and verbal • Productive work ethic with strong initiative • Organized and able to meet deadlines • Able to multi-task in fast paced environment with distractions • Fast learner with the ability to adapt and be flexible  Essential Functions: • Public relations and effective communication of details and accurate facts • Ability to learn and use various software programs in communicating, preparing reports, market surveys, assigned projects (Yardi, Access, MS Word, Excel and Outlook will be most important programs) • Ability to monitor and track documents • Effectively communicate and work with owners, vendors and co-workers in a professional manner • Ability to accurately calculate rents and lease figures • Identify the needs of a client and respond  to these needs quickly • Ability to market and close on apartment leases • Organization, office/model cleaning and miscellaneous filing skills • Ability to meet deadlines while paying close attention to detail • Ability to maintain confidentiality • Understand and follow Fair Housing guidelines   Detail of Duties and Responsibilities: • Provide the following leasing office assistance: o Show units to interested clients and follow up with the clients after their visit and throughout their leasing experience  o Complete the leasing process with clients which includes but is not limited to performing walk-throughs, evaluating credit applications/outcomes, and completing all leasing documentation o Communicate work progress, client feedback and other significant problems/concerns to Property Manager  o Filing and organizing as well as cleaning office and models when necessary, opening and closing office, maintaining conversation logs, auditing files for accuracy and working on special reports and projects as assigned by Manager. o Assist with move ins and move outs  • Coordinate advertising for the property with Property Manager  • Assist with special events – provide customer service at special events booths, pass out flyers, resident events  • Flexibility to handle changes in work plans as needs arise for more immediate consideration; general ability to learn and grow into greater responsibility as needed.     Experience and Characteristics Description: • Diploma/G.E.D. required, Bachelors degree preferred  • Customer service attitude required; experience in sales/customer service a plus • Computer proficient (MS Office and Outlook) • Knowledge of Yardi/property management software and/or the ability to learn quickly  To apply, please send in your resume and a cover letter."
"735","2-4-years-experience-needed bs-degree-needed salary full-time-job","Avion Pharmaceuticals is a leading specialty pharmaceutical company focused on women's healthcare and dermatology segments of the U.S.  It is a fully integrated company with internal resources dedicated to the development, manufacturing and promotion of its products. We have developed strong franchises in women's healthcare and dermatology through our marketing efforts and training of our specialty sales forces. We believe that our proven product development and customer focused marketing and sales efforts distinguish Avion Pharmaceuticals as the “Gold Standard” company in our respective therapeutic categories.   We are currently hiring a field-based Specialty Pharmaceutical Sales Representative for the San Francisco, CA territory.  We are seeking aggressive, results-oriented individuals who will be able to drive branded prescription sales within a defined territory.  Excellent base salary and benefits with strong incentive potential which is linked directly to your ability to increase business within your assigned territory.  The Specialty Pharmaceutical Sales Representative will promote our Prenate® brands and other Women’s Health and Dermatology brands.  The primary call point will be OB-Gyn’s and Dermatology.  We are expecting to launch a number of new products in 2013 and beyond to further distinguish ourselves as the market leader in Women’s Health.    Position responsibilities include, but are not limited to: Calling on assigned territory healthcare providers and informing those healthcare providers about the features and benefits of our products, explaining the characteristics, uses, dosages, value add programs for our HCP’s and their patients as well as the ability to effectively communicate other relevant educational information as directed by management in order to grow market share; Consistently develop a partnership selling style that includes an ability to use all available promotional literature and selling tools (excel based reports, market share & usage reports, etc,) during sales calls as assigned; Educate, develop and maintain strong relationships with assigned territory healthcare providers and their staff, to further the progress of the company business; Continuously improve selling skills, product and competitor product knowledge by completing required training courses, working with your managers, and reviewing available information provided by the product management team and/or Avion Pharmaceuticals medical affairs team.  Basic Requirements: Candidate must have minimum of Bachelor's Degree (B.S., B.A., or B.S.N.) from a four year accredited college or university; At least 18 months of business-to-business sales experience; Must be authorized to be employed in the United States and must have a valid driver's license issued in one of the 50 States with a clean driving record; Ability  to travel as necessary; Strong organization skills and excellent oral presentation and communication skills also required; Candidates must also successfully pass a drug test, background check, and DMV test.  Other Requirements:  Business-to-business sales experience with companies such as ADP, Paychex, and Cintas is a plus; Preference will also be given to candidates with documented sales awards and achievements and candidates living within 20 miles of the posted geography.  Avion Pharmaceuticals realizes that our success as an organization is dependant upon our people. We seek aggressive, success oriented and flexible sales representatives. If you are motivated by competitive incentive compensation and career advancement measured by proven successes.  If you are interested in the position, please send your resume along with current and desired salary expectations.  Please visit Avion Pharmaceuticals’s web site at www.example.com for more information about this position and other positions within our rapidly growing company."
"756","full-time-job licence-needed 2-4-years-experience-needed","Looking for an Animal Care technician with 2 or more years experience working in a dog/cat kennel. An Animal Care Technician (ACT) has the primary responsibility of ensuring the comfort, cleanliness, and enjoyment of our boarding guests through compassionate animal handling, feeding, watering, exercising, and maintaining a clean boarding environment.  Care First Animal Hospital at Falls Pointe is a progressive, small animal, three doctor practice.   In addition, we have a boarding facility, grooming, in home pet sitting, dog training and doggie daycare.  We also have 24hr on call emergency doctors.  Full Time Benefits include:  401k, Insurance (Health, Dental, & Vision), Paid Vacation, Continuing Education as well as benefits for your pets. We have weekly staff training sessions so we can continue to provide excellent care to our clients and their pets.    Wonderful atmosphere to work in. Very team oriented!   Located in Raleigh North Carolina ½ mile North of I-540"
"758","part-time-job","Opportunity for a legal reporter to procure and summarize newly filed substantive civil law at the Multnomah and Washington County Circuit Courts. Work on a cutting edge project acquiring newly filed legal cases. Summarize and upload case synopses into data base. Scan and upload (via pdf) motions and litigation documents. Position is ideal for journalism or law student looking to refine skills with a splash of legal acumen!   -Part -Time Contract Position; Monday-Friday Afternoons; Legal Document Research and Acquisition   -Great opportunity for journalism or law student looking for more case exposure, or part time legal specialist   Qualifications:  -Detail oriented  -Computer savvy  -Understanding of legal procedure  -Ability to comprehend and analyze legal documents  -Legal background preferred but will consider education in lieu of experience  -Available to collect high profile cases and scan via pdf immediately upon request "
"764","2-4-years-experience-needed full-time-job","Growing *Fort Worth, Texas* area primary care/internal medicine clinic looking to hire a full-time physician assistant:  * 2 years experience required * Monday-Friday, 40 hours a week, daytime hours * No weekends, no call   For more information on this position click *\Apply Online\* below:"
"765","salary full-time-job","Hospital in small *West Texas* town looking to hire a full-time physician assistant or nurse practitioner:  * Bilingual preferred but not required * Clinic work only * 40 hours a week, daytime hours * No call, no weekends * Very competitive salaries * Excellent benefits package through the hospital  To be considered for this position click *\Apply Online\* below:"
"766","licence-needed full-time-job","The Lewis is working with a rural health clinic in East Texas looking to hire a full-time, Texas-licensed Physician Assistant (PA) or Nurse Practitioner (NP):  * Clinic is located 75 Southeast of Dallas * Family practice * Monday through Friday, daytime hours * No call, no weekends, no nights * Full benefit package  We also have adult medicine opportunities in East Texas."
"773","full-time-job hourly-wage","Coordinate for multimillion dollar AV installation and integration company.  Maintain schedules, write purchase orders, data entry and customer service.  Seeking hard worker who learns fast with substantial computer skills.  Full time hourly office position with no travel."
"776","bs-degree-needed full-time-job salary 2-4-years-experience-needed","**THIS POSITION IS CONTINGENT ON CONTRACT AWARD - to begin September 30, 2013** Marine Corps Logistics Command – Albany, GA   -- --Must be able to meet physical demands of position and pass/maintain any related medical examination requirements required to perform assigned daily tasks. --May be required to pass and maintain a U.S. Government background security check.  JOB REQUIREMENTS:   1. Address USMC/Navy cargo problems related to standard port procedures (violation of which results in discrepancies). 2. Provide assistance to aerial port customer service representatives regarding DOD transiting shipments. 3. Assist aerial port customer service representatives by facilitating Marine Corps/Navy process improvements to minimize the occurrence of Marine Corps/Navy sponsored frustrated cargo. 4. Resolve/Process all frustrated cargo to ensure compliance with both aerial port and DOD requirements. 5. Monitor all cargo movements through all modes of transportation from origin to destination to determine the effectiveness of contracted transportation in meeting the Defense Transportation Time-line. 6. Is trained in the doctrinal concepts of landing support and the landing force support party; conducting port, arrival/departure airfield, helicopter landing zone, and rail head.   EDUCATION/EXPERIENCE Logistician II – Bachelor’s degree and 3 years experience, or High School diploma and 11 years experience.  Must be able to speak, read, write and understand English”  All employees have the responsibility for continuously developing and maintaining a safe work environment. As appropriate, each employee is responsible for completing all training requirements and fulfilling participating in emergency response tasks and serving on safety committees and teams. Additional training may be required upon job acceptance.  Procedure Compliance - Each employee must read, understand and implement the general and specific operational, safety, quality and environmental requirements of all plans, procedures and policies pertaining to his/her job.  SPECIALIZED EXPERIENCE: Within their resume applicants must explain how they have gained the Specialized Experience required for this position. All experience, education, or training which demonstrates a thorough knowledge of governing regulations, policies, procedures, and instructions applicable to the specific assignment should be outlined within resume.  - Security Clearance Preferred   -Must be eligible and able to receive a Govt CAC card as required. Also, pass all eligible screening to gain access to Military Facilities.  - Must be able to pass a Pre-employment drug test. -Possibility for travel to other project associated work sites as needed.   Threat Defense offers a benefits package that includes Medical, Dental/Vision, Life, 401K and more."
"777","part-time-job","Arden B at Easton Town Center is searching for part-time sales associates. Must be 18 and prior retail experience is prefered, but not required. We offer a generous discount and fun atmosphere. Apply in person as the number of open positions is limited.     www.example.com"
"778","part-time-job","Express Employment Professionals in White Plains, NY is seeking to immediately fill a part-time telemarketing position. This opening is with a small insurance office that is looking for someone who can be a great people person with the ability to book appointments over the phone for the company’s owner.   Position Responsibilities Include: 1. Cold calling potential clients 2. Booking appointments with companies for the insurance agency’s owner 3. Friendly telephone voice 4. Good attitude and the ability to keep picking up the phone Previous sales experience preferred, but not necessary for the right individual. This is not a sales position but an appointment booking position. For the right performer, this position could grow into a full time opportunity.   We are interviewing this week to fill this position ASAP. Please call our offices at  XXX  to schedule an interview if you think you have the personality, organization and experience this highly demanding position needs.  Express Employment Professionals. Respecting People. Impacting Business. "
"780","salary full-time-job","Route sales position for local beer wholesaler. Seeking Pike County resident that is an energetic, self-starter with interest in marketing and merchandising. Monday-Friday with some evening and weekend activities required. Minimum 45 hours work week. $45k includes base pay + incentives. Healthcare plan and company vehicle provided."
"784","full-time-job 1-year-experience-needed licence-needed","Hillside Plaza, a Legacy Health Services facility, is seeking an Registered Nurse (RN) for a Full-Time night shift position.    *Job Description/Requirements:* * Minimum one year’s experience in a Charge RN role in a long-term healthcare environment required.   * Working knowledge of PCC preferred * Staff supervision work experience a must.    _Hillside Plaza offers competitive pay/benefits._"
"786","licence-needed full-time-job 2-4-years-experience-needed","Full time RN Head Nurse position for Long Term Care and short term rehab unit. Must have two years experience in Long Term Care and Short Term Rehab."
"789","associate-needed hourly-wage part-time-job","We are an Early Childhood Education Center for children 2-5 years old. We are looking to hire an experienced teacher with a degree in education. This position if for a co-teacher in our morning program with 2 & 3 year olds. This new teacher must have loads of energy, creativity, and patients. This person must be extremely reliable and dedicated to working with children. Our center offers drop-off classes and camps for children 2-5 years old, special events, and birthday parties. Our focus is on language development, socialization, classroom skills, first time separations, preschool preparation, and learning about our world though hands-on interactions and guided play. Applicants should be interested in a long term position. Our current needs are M-F 9:00-1:00 with some flexibility. Job responsibilities include guiding children's play, socialization, and behavior; assisting with or leading music, art, and circle time activities; classroom set up, and clean up during and after classes. Associates or bachelor's in education is required. Experience with children under the age of 5 years is required. Any musical or artistic talent is a definite plus. Applicants must receive a background check as required by law. A resume and references are also required.  Salary: $10 per hour Start date: Late September/early October We look forward to hearing from you and having someone new join our classroom."
"790","full-time-job hourly-wage","Requirements:  -Experience with 1-on-1 training -Great interpersonal skills -Energy & Enthusiasm  Compensation-Commission/Hourly  Blast Fitness is looking for highly motivated Personal Trainers! This is a great position for a candidate looking to make a Career in a growing and dynamic organization while doing something they love. This is a personal training position, a certification is not required. The Health Club and Personal Training are owned and run by Blast Fitness (www.example.com), which is the fastest growing health club owner in the country. All of our locations feature a high volume of members joining monthly, and already have a large existing member base as well.  We are looking for people with high energy, enthusiasm, and passion who are willing to spend time in the club working the floor, setting appointments, and building relationships with the members while developing their team of trainers to do the same as well. We are looking for leaders with an incredible work ethic that will be compensated several ways for their efforts. This is a full time position. Prospecting and communicating with current health club members is a must on a daily basis."
"793","full-time-job hourly-wage","Physician Assistant in Primary Care & Preventive Medicine Waterford Family Physicians, P.C.  We are seeking an experienced Physician Assistant provider or a strong new graduate to work with our team of four, well-respected internists and family practice physicians. This is a full time position with schedule flexibility available. No on-call or weekends other than occasional scheduled Saturday mornings.  Waterford Family Physicians is a well-established, innovative physician group in Waterford, Michigan, we are active in the Michigan Primary Care Transformation Project and are a Patient-Centered Medical Home.   Waterford Family Physicians offers a thorough approach to provide the best care for patients. The PA will work independently and in collaboration with our physicians to integrate patient’s care and help them live a healthier life.   Primary responsibilities of the PA will include patient office visits; accurate assessment, diagnosis, and treatment of common family illnesses for patients over 18 months. Help patients manage their well-being with treatment and patient education. Ensure patient information, visit history, refer outs, lab follow-up, phone calls, and consults are carefully completed and documented. Duties include prescription refills, chart reviews for quality improvement and patient paperwork.   Our office is upbeat and friendly with many long-term employees. We provide on-going training and a career path in a positive environment. Learn more about us at: WaterfordFP.com.    We offer an excellent work environment, competitive salary between $38.00 - $45.00/hour depending on experience. Benefits include SAR-SEP, paid vacation, health, dental & life insurance and more.   Qualifications Required: Licensed in accordance with State of Michigan laws of practice for Physician Assistant. Strong communication skills.  Please send a cover letter and resume to: example@example.com  Keywords: Physician Assistant, Physicians Assistant, Physician's Assistant, PA, Physicians Asst"
"794","full-time-job","*Job Description* Established and growing software design and development firm, specializing in software for the property and casualty insurance industry, seeks a web application developer.  The position will consist of: -Developing data-driven components to enrich and extend the firm’s existing web applications. -Writing and testing new server-side application code as well as new client-side code, and maintaining existing code. -Developing and maintaining new relational database components.  *Desired Skills & Experience* Candidate must have: -excellent analytical and problem-solving skills -familiarity with computer programming concepts and languages such as C"
"796","full-time-job hourly-wage","Customer Service Representative - Russian (Morton Grove, IL) RUSSIAN SPEAKING CUSTOMER SERVICE REPS NEEDED (MORTON GROVE)  We are currently hiring Full Time Customer Service Agents for our Morton Grove Office. Join one of the fastest growing ecommerce companies in Chicago today!  Responsibilities • Answer incoming calls/making outgoing calls to clients • Respond to customer emails • Work with other departments to resolve issues with client orders • Perform product searches through online retail partners (Ebay, Amazon, etc.)  Requirements  • Be fluent in English and Russian language (writing, speaking, and reading) • Have Excellent Communication Skills • Have experience shopping with online retailers (Ebay, Amazon, etc.) • Be able to work day, evening, or overnight shifts as needed • Be at least 18 years old and have proper legal status to work in the United States  Compensation • Competitive Hourly Wage + Performance Bonuses • Health and Dental Insurance • Paid Vacation Time • Guaranteed 40+ Hours/week • Paid Training Provided"
"797","salary part-time-job licence-needed","Physician (NP/MD/DO) Part time Thrive Health Solutions (So. DTC) Englewood, CO _\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\__ Thrive Health Solutions is a successful medical weight loss and aesthetic medicine clinic in So. DTC/Denver, CO is seeking a part time physician (NP/MD/DO) to staff 1-3 days per week (Tues/Wed, Wed/Thurs or Tues, Wed or Thurs, with NO On-Call or Weekends) to join our rapidly growing, busy, upbeat and successful clinic environment.  Primary duties include part-time patient consultation/exam, reviewing and maintaining patient charts, prescribing and administering appropriate medications per established protocols.  Since 2007 we have focused on a healthy medical and nutritional approach to weight loss, BHRT and aesthetic medicine therapies. We are a nationally expanding organization of well established medical weight loss and anti-aging clinics (alternative health care organizations with no insurance billing or insurance credentialing needed).  Our clinic environment is fast-paced, and our staff is composed of smart, driven, detail-oriented and thoughtful people experienced in cutting edge therapies and committed to the utmost in care provided.  Experience is preferred but not necessary. We are willing to train any MD/DO/NP/ANP meeting the required credentials and interested on our well established protocols.  *Newly retired, semi-retired or newer physicians looking for steady part-time work are encouraged to apply.*  *WHAT WE OFFER:*  -Contract /Hourly (1099) offers flexible steady part time scheduling with competitive salary structure (Med/Mal insurance provided).  -All patients are provided.  - Enjoy a hassle-free, safe and posative environment to practice medicine without the overhead costs, insurance billing, or staffing headaches.  *REQUIRED:*  - Active/current Colorado ANP/NP, MD, DO license, in good standing with the governing board(s) with prescribing rights and active DEA "
"803","part-time-job hourly-wage","VeriCheck, Inc. is currently looking to hire a part-time collections specialist. The schedule will be Monday through Friday, 5pm through 9pm, and one Saturday per month from 9am to 1pm. The main responsibilities are as follows:  1. Calling customers who owe an outstanding balance. 2. Managing customer account data using proprietary and non-proprietary accounting and data management tools. 3. Relaying collections data and status reports to direct supervisor.  We are looking to hire as soon as possible. Please provide copy of resume and/or cover letter in your submission."
"815","part-time-job","Office position.Permanent part-time.   Monday thru Friday 20 to 30 hours per week. Opportunity to advance.   Solid computer skills a must. Proficiency in Exel is required, Quickbooks is a plus.  Must be thorough, organized and completely attentive to details.  "
"816","part-time-job hourly-wage","WFF Facility Service is hiring 3rd shift custodians for a local campus. The shift is Monday - Friday or Sunday - Thursday from 10:00 PM -  5:00 AM. Applicants must be able to pass a background check, be over 18 years old, physically able to do the job, and able to follow direction. The campus is located at I-94/Edens Expressway & West Foster Ave.  Benefits include paid vacation, paid holidays, paid insurance, and medical is available too.   Starting pay is $9.00 hour."
"818","licence-needed full-time-job","Independent Contract Physician with experience in Occupational Health wanted in the Dallas/Ft Worth, Texas area.  This is a full time position with no scheduled weekend hours.  The ideal candidate would be able to, but not limited to the activities listed below:  • Perform Post Offer Physical Exams • Provide return to work approval • Perform return to work and Fit for Duty exams for both Occupational and Non-Occupational illnesses and injuries • Provide oversight of Workers’ Compensation and patient treatment in the clinic and assist with other Workers’ Compensation issues. • Treat (within the scope of the clinic) all work related injury and illnesses and refer to appropriate specialist as indicated • Review all medical surveillance testing, pulmonary function tests, hearing tests, X-Rays and all laboratory results associated with medical surveillance programs. • Perform physical examinations related to biological monitoring • Consult with outside physicians on work-related and non-work related injuries and illnesses • Perform site “walk through’s” and work closely with EHS. • Provide assessment, consultation and recommendations for international travelers • Consult on ergonomic issues as necessary • Review and recommend and revise policies and procedure for clinic compliance • Review and approve appropriate protocols for clinic staff, Nurses, Physician Assistants, Nurse Practitioners and Emergency Medical Technicians annually. • Act as a Medical Review Officer. • Other duties as required  Must be licensed in the State of Texas or be able to obtain such licensure. Please forward your CV/Resume to the address listed below."
"820","full-time-job hourly-wage","We are looking to fill an immediate opening as a saw operator in our plastics distribution company. This job offers full time employment full benefits and participation in our lucrative profit share program.   You must demonstrate an ability to work as a team member, work safely, read a tape measure, display a can do attitude, drive a forklift (experience is a must), demonstrate our core values of hard work, continuous improvement and empowerment at all levels. Experience in the Industrial Plastics Industry is a big plus. The hourly pay for this position is between $15.00 to $17.00 per hour based on experience.   This is an amazing job for someone who is looking for a career not just a job. Attitude is critically important."
"826","full-time-job","Aramark corp. is looking for a full time Korean cook/chef for our corporate dining location in Richardson Texas. Experience required. Monday - Friday   Weekends and holidays off  Full benefits"
